keyword_id,bucket,keyword,poi_type_hint,description
KW_DIRECT_001,direct_competitor,咖啡,咖啡厅,泛咖啡门店关键词，用于捕捉独立咖啡和连锁咖啡
KW_DIRECT_002,direct_competitor,星巴克,咖啡厅,头部连锁咖啡品牌，代表强直接竞争
KW_DIRECT_003,direct_competitor,瑞幸咖啡,咖啡厅,高密度连锁咖啡品牌，代表价格敏感型直接竞争
KW_DIRECT_004,direct_competitor,库迪咖啡,咖啡厅,连锁咖啡品牌，补充识别低价咖啡竞争
KW_INDIRECT_001,indirect_competitor,奶茶,饮品店,茶饮和现制饮品门店，代表替代性消费竞争
KW_INDIRECT_002,indirect_competitor,茶饮,饮品店,覆盖新式茶饮品牌和非咖啡饮品消费
KW_INDIRECT_003,indirect_competitor,面包甜点,糕饼店,烘焙和甜品店，可能分流下午茶消费
KW_INDIRECT_004,indirect_competitor,甜品,甜品店,甜品小吃场景，补充替代性休闲消费
KW_DEMAND_001,demand_anchor,写字楼,商务住宅,办公人群需求锚点，适合评估工作日咖啡消费
KW_DEMAND_002,demand_anchor,购物中心,购物服务,商业客流需求锚点，适合评估购物和休闲消费
KW_DEMAND_003,demand_anchor,大学,科教文化服务,学生和教职工需求锚点，适合评估校园周边消费
KW_DEMAND_004,demand_anchor,住宅小区,商务住宅,社区居民需求锚点，适合评估日常复购潜力
KW_DEMAND_005,demand_anchor,酒店,住宿服务,差旅和游客需求锚点，适合评估外来客流
KW_TRANSIT_001,transit,地铁站,交通设施服务,轨道交通可达性锚点，适合评估通勤客流
KW_TRANSIT_002,transit,公交站,交通设施服务,公共交通可达性锚点，补充短距离通勤信号
KW_TRANSIT_003,transit,停车场,交通设施服务,自驾可达性锚点，适合评估商圈停车便利性
KW_TRANSIT_004,transit,高铁站,交通设施服务,交通枢纽客流锚点，适合评估出行消费场景
